요구사항ID,요구사항유형,대분류,중분류,소분류,중요도,요구사항명,요구사항 설명,역할
RQ-01-01,기능,사용자 기능,계정관리,회원가입,상,회원가입 기능,이용자는 회원가입할 수 있어야 한다.,이용자
RQ-01-02,기능,사용자 기능,계정관리,로그인,상,로그인 기능,이용자는 로그인할 수 있어야 한다.,이용자
RQ-01-03,기능,사용자 기능,계정관리,프로필조회,중,프로필 조회 기능,이용자는 자신의 계정을 조회할 수 있어야 한다.,이용자
RQ-01-04,기능,사용자 기능,상품관리,관심상품조회,중,관심 상품 조회 가능,이용자는 자신의 관심 상품에 관한 정보를 확인할 수 있어야 한다.,이용자
RQ-01-05,기능,사용자 기능,상품관리,관심상품삭제,중,관심 상품 삭제 기능,이용자는 자신의 관심 상품을 삭제할 수 있어야 한다.,이용자
RQ-01-06,기능,사용자 기능,계정관리,프로필조회,중,프로필 조회 기능,이용자는 자신의 프로필 기본 내용을 확인 할 수 있어야 한다.,이용자
RQ-01-07,기능,사용자 기능,계정관리,프로필수정,중,프로필 수정 기능,이용자는 자신의 프로필 기본 정보를 수정할 수 있다.,이용자
RQ-01-08,기능,사용자 기능,계정관리,비밀번호수정,중,비밀번호 수정 기능,이용자는 자신의 비밀번호를 변경할 수 있다.,이용자
RQ-01-09,기능,사용자 기능,거래관리,거래조회,중,거래 목록 조회 기능,이용자는 자신의 거래내역을 확인할 수 있다.,이용자
RQ-01-10,기능,사용자 기능,거래관리,거래상세조회,중,거래 상세 정보 조회 기능,이용자는 자신의 상세한 거래내역 정보를 확인할 수 있다. ,이용자
RQ-01-11,기능,사용자 기능,거래관리,거래상세저장,중,거래 상세 정보 저장 기능,이용자는 자신의 상세한 거래내역 정보를 저장할 수 있다. ,이용자
RQ-01-12,기능,사용자 기능,고객센터,문의하기,중,문의하기 기능,이용자는 관리자와 문의 메시지를 주고 받을 수 있다.,이용자
RQ-01-13,기능,사용자 기능,고객센터,문의내역조회,중,문의 내역 조회 기능,이용자는 문의 메시지를 확인할 수 있다.,이용자
RQ-01-14,기능,사용자 기능,상품검색,전체목록조회,중,판매 상품 목록 조회 기능,이용자는 판매중인 상품 목록을 확인할 수 있다.,이용자
RQ-01-15,기능,사용자 기능,상품검색,조건검색,중,판매 상품 검색 기능,이용자는 입력한 조건에 맞는 상품을 확인할 수 있다.,이용자
RQ-01-16,기능,사용자 기능,상품검색,상세정보조회,중,판매 상품 상세 정보 조회 기능,이용자는 판매 상품에 대한 상세한 정보를 확인할 수 있다.,이용자
RQ-01-17,기능,사용자 기능,상품관리,관심상품등록,중,관심 상품 등록 기능,이용자는 해당 상품을 관심상품으로 등록할 수 있다.,이용자
RQ-01-18,기능,사용자 기능,장바구니,장바구니담기,상,장바구니 추가 기능,이용자는 원하는 수량을 선택 후 장바구니에 상품을 넣을 수 있다.,이용자
RQ-01-19,기능,사용자 기능,상품추천,유사상품조회,하,관련 상품 조회 기능,이용자는 현재 조회하고 있는 상품과 유사한 상품을 확인할 수 있다.,이용자
RQ-01-20,기능,사용자 기능,장바구니,장바구니조회,중,장바구니 조회 기능,이용자는 장바구니에 담긴 상품을 확인할 수 있다.,이용자
RQ-01-21,기능,사용자 기능,장바구니,장바구니삭제,중,장바구니 상품 삭제 기능,이용자는 장바구니에 담긴 상품을 삭제할 수 있다.,이용자
RQ-01-22,기능,사용자 기능,장바구니,수량변경,중,장바구니 상품 수량 변경 기능,이용자는 장바구니에 담긴 상품의 수량을 변경할 수 있다.,이용자
RQ-01-23,기능,사용자 기능,주문,상품구매,상,상품 구매 기능,이용자는 장바구니에 담긴 상품을 구매할 수 있다.,이용자
RQ-01-24,기능,사용자 기능,설정,언어변경,하,언어 변경 기능,이용자는 홈페이지의 언어를 변경할 수 있다.,이용자
,,,,,,,,
RQ-02-01,기능,관리자 기능,계정관리,로그인,상,로그인 기능,관리자는 로그인할 수 있어야 한다.,관리자
RQ-02-02,기능,관리자 기능,통계관리,판매정보조회,중,총 판매 가격 조회 기능,관리자는 연간 판매 가격을 확인할 수 있다.,관리자
RQ-02-03,기능,관리자 기능,주문관리,주문조회,중,최근 주문 목록 조회 기능,관리자는 이용자들의 최근 주문 목록을 확인할 수 있다.,관리자
RQ-02-04,기능,관리자 기능,주문관리,주문상세조회,중,주문 상세 정보 조회 기능,관리자는 이용자들의 주문 상세 정보를 확인할 수 있다.,관리자
RQ-02-05,기능,관리자 기능,주문관리,배송상태수정,중,배송 상태 수정 기능,관리자는 주문의 배송 상태를 수정할 수 있다.,관리자
RQ-02-06,기능,관리자 기능,상품관리,브랜드조회,중,브랜드 조회 기능,관리자는 브랜드를 확인할 수 있다.,관리자
RQ-02-07,기능,관리자 기능,상품관리,브랜드등록,중,브랜드 추가 기능,관리자는 브랜드를 추가할 수 있다.,관리자
RQ-02-08,기능,관리자 기능,상품관리,브랜드수정,중,브랜드 수정 기능,관리자는 브랜드를 수정할 수 있다.,관리자
RQ-02-09,기능,관리자 기능,상품관리,브랜드삭제,중,브랜드 삭제 기능,관리자는 브랜드를 삭제할 수 있다.,관리자
RQ-02-10,기능,관리자 기능,상품관리,카테고리조회,중,카테고리 조회 기능,관리자는 카테고리를 확인할 수 있다.,관리자
RQ-02-11,기능,관리자 기능,상품관리,카테고리등록,중,카테고리 추가 기능,관리자는 카테고리를 추가할 수 있다.,관리자
RQ-02-12,기능,관리자 기능,상품관리,카테고리수정,중,카테고리 수정 기능,관리자는 카테고리를 수정할 수 있다.,관리자
RQ-02-13,기능,관리자 기능,상품관리,카테고리삭제,중,카테고리 삭제 기능,관리자는 카테고리를 삭제할 수 있다.,관리자
RQ-02-14,기능,관리자 기능,상품관리,상품조회,중,상품 조회 기능,관리자는 상품을 확인할 수 있다.,관리자
RQ-02-15,기능,관리자 기능,상품관리,상품등록,중,상품 추가 기능,관리자는 상품을 추가할 수 있다.,관리자
RQ-02-16,기능,관리자 기능,상품관리,상품수정,중,상품 수정 기능,관리자는 상품을 수정할 수 있다.,관리자
RQ-02-17,기능,관리자 기능,상품관리,상품삭제,중,상품 삭제 기능,관리자는 상품을 삭제할 수 있다.,관리자
RQ-02-18,기능,관리자 기능,이용자관리,이용자조회,중,이용자 조회 기능,관리자는 이용자를 확인할 수 있다.,관리자
RQ-02-19,기능,관리자 기능,이용자관리,이용자등록,중,이용자 추가 기능,관리자는 이용자를 추가할 수 있다.,관리자
RQ-02-20,기능,관리자 기능,이용자관리,이용자수정,중,이용자 수정 기능,관리자는 이용자를 수정할 수 있다.,관리자
RQ-02-21,기능,관리자 기능,이용자관리,이용자삭제,중,이용자 삭제 기능,관리자는 이용자를 삭제할 수 있다.,관리자
RQ-02-22,기능,관리자 기능,고객센터,문의조회,중,메시지 조회 기능,관리자는 이용자의 문의 메시지를 확인할 수 있다.,관리자
RQ-02-23,기능,관리자 기능,고객센터,문의답변,중,문의하기 기능,관리자는 이용자와 문의 메시지를 주고 받을 수 있다.,관리자
RQ-02-24,기능,관리자 기능,통계관리,전체통계,중,통계 정보 조회 기능,관리자는 통계 정보를 확인할 수 있다.,관리자
RQ-02-25,기능,사용자 기능,설정,언어변경,하,언어 변경 기능,이용자는 홈페이지의 언어를 변경할 수 있다.,관리자